
2025/08/18 (14:59:48) | ===> btop++ v.1.3.0
2025/08/18 (14:59:48) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (15:00:36) | ===> btop++ v.1.3.0
2025/08/18 (15:00:36) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (15:22:46) | ===> btop++ v.1.3.0
2025/08/18 (15:22:46) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (15:27:45) | ===> btop++ v.1.3.0
2025/08/18 (15:27:45) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (15:31:36) | ===> btop++ v.1.3.0
2025/08/18 (15:31:36) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (15:37:58) | ===> btop++ v.1.3.0
2025/08/18 (15:37:58) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (16:01:07) | ===> btop++ v.1.3.0
2025/08/18 (16:01:07) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (16:41:20) | ===> btop++ v.1.3.0
2025/08/18 (16:41:20) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (16:53:10) | ===> btop++ v.1.3.0
2025/08/18 (16:53:10) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (17:19:00) | ===> btop++ v.1.3.0
2025/08/18 (17:19:00) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (17:25:07) | ===> btop++ v.1.3.0
2025/08/18 (17:25:07) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (17:57:08) | ===> btop++ v.1.3.0
2025/08/18 (17:57:08) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (18:17:31) | ===> btop++ v.1.3.0
2025/08/18 (18:17:31) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (18:17:38) | ===> btop++ v.1.3.0
2025/08/18 (18:17:38) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (18:30:41) | ===> btop++ v.1.3.0
2025/08/18 (18:30:41) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (19:29:28) | ===> btop++ v.1.3.0
2025/08/18 (19:29:28) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (19:45:29) | ===> btop++ v.1.3.0
2025/08/18 (19:45:29) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (19:51:59) | ===> btop++ v.1.3.0
2025/08/18 (19:51:59) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (23:00:52) | ===> btop++ v.1.3.0
2025/08/18 (23:00:52) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (11:53:15) | ===> btop++ v.1.3.0
2025/08/19 (11:53:15) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (11:56:39) | ===> btop++ v.1.3.0
2025/08/19 (11:56:39) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (12:13:09) | ===> btop++ v.1.3.0
2025/08/19 (12:13:09) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (12:32:47) | ===> btop++ v.1.3.0
2025/08/19 (12:32:47) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (13:38:25) | ===> btop++ v.1.3.0
2025/08/19 (13:38:25) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (14:19:01) | ===> btop++ v.1.3.0
2025/08/19 (14:19:01) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (14:45:31) | ===> btop++ v.1.3.0
2025/08/19 (14:45:31) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (15:43:18) | ===> btop++ v.1.3.0
2025/08/19 (15:43:18) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (16:32:51) | ===> btop++ v.1.3.0
2025/08/19 (16:32:51) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (17:37:15) | ===> btop++ v.1.3.0
2025/08/19 (17:37:15) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (18:02:47) | ===> btop++ v.1.3.0
